missione;amministrazione_titolare;tipologia_intervento;misura;denominazione;trimestre;anno;stato_attuazione
M1C1;PCM - Ministro per la Pubblica Amministrazione;Riforma;Riforma 1.9 - Riforma della pubblica amministrazione;Entrata in vigore della legislazione primaria sulla governance del PNRR;2;2021;conseguito
M1C1;PCM - Ministro per la Pubblica Amministrazione;Riforma;Riforma 1.9 - Riforma della pubblica amministrazione;Entrata in vigore della legislazione primaria sulla semplificazione delle procedure amministrative per l'attuazione del PNRR.;2;2021;conseguito
M1C1;PCM - Ministro per la Pubblica Amministrazione;Investimento;Investimento 1.9: Fornire assistenza tecnica e rafforzare la creazione di capacità per l'attuazione del PNRR;Entrata in vigore della legislazione primaria necessaria per fornire assistenza tecnica e rafforzare la creazione di capacità per l'attuazione del PNRR;2;2021;conseguito
M1C1;PCM - Segretariato generale;Riforma;Riforma 1.10 - Riforma del quadro legislativo in materia di appalti pubblici e concessioni;Entrata in vigore del decreto sulla semplificazione del sistema degli appalti pubblici;2;2021;conseguito
M4C2;Ministero dello Sviluppo Economico (MiSE);Investimento;Investimento 2.1 - IPCEI;Varo dell'invito a manifestare interesse per l'identificazione dei progetti nazionali, compresi i progetti IPCEI microelettronica;2;2021;conseguito
M1C2;Ministero degli affari esteri e della cooperazione internazionale (MAECI);Investimento;Investimento 5.1: Rifinanziame nto e ridefinizione del Fondo 394/81 gestito da SIMEST;Entrata in vigore del rifinanziamento del Fondo 394/81 e adozione della politica di investimento;3;2021;conseguito
M2C1;Ministero della transizione ecologica (MITE);Investimento;Investimento 1.1 - Realizzazione nuovi impianti di gestione rifiuti e ammodernam ento di impianti esistenti;Entrata in vigore del decreto ministeriale finalizzato a definire i criteri di selezione dei progetti proposti dalle Municipalità;3;2021;in corso
M2C1;Ministero della transizione ecologica (MITE);Investimento;"1.2 - Progetti ""faro"" di economia circolare";Entrata in vigore del decreto ministeriale finalizzato a definire i criteri di selezione dei progetti proposti dalle Municipalità;3;2021;in corso
M2C4;Ministero della transizione ecologica (MITE);Investimento;Investimento 1.1. Realizzazione di un sistema avanzato ed integrato di monitoraggio e previsione;Piano operativo per realizzare un sistema avanzato e integrato di monitoraggio e previsione per l'individuazione dei rischi idrologici;3;2021;in corso
M5C1;Ministero dello Sviluppo Economico (MiSE)  in collaborazione con PCM - Dip. Pari Opportunità;Investimento;Investimento 5 - Creazione di imprese femminili;Adozione del fondo a sostegno dell'imprenditorialità femminile;3;2021;in corso
M1C1;MEF/RGS;Riforma;Riforma 1.9 - Riforma della pubblica amministrazi one;Sistema di archiviazione per audit e controlli: informazioni per il monitoraggio dell'attuazione dell'RRF;4;2021;in corso
M1C1;PCM - Ministro per l’innovazione tecnologica e la transizione digitale (MITD);Riforma;Riforma 1.1: Processo di acquisto ICT;"Entrata in vigore dei decreti-legge per la riforma 1.1 ""Processo di acquisto ICT""";4;2021;conseguito
M1C1;PCM - Ministro per l’innovazione tecnologica e la transizione digitale (MITD);Riforma;Riforma 1.3: Cloud first e interoperabilit à;"Entrata in vigore dei decreti-legge per la riforma 1.3 ""Cloud first e interoperabilità""";4;2021;in corso
M1C1;Ministero della Giustizia;Riforma;Riforma 1.4: Riforma del processo civile;Entrata in vigore della legislazione attuativa per la riforma del processo civile;4;2021;in corso
M1C1;Ministero della Giustizia;Riforma;Riforma 1.5: Riforma del processo penale;Entrata in vigore della legislazione attuativa per la riforma del processo penale;4;2021;Conseguito (legge in corso di promulgazione)
M1C1;Ministero della Giustizia;Riforma;Riforma 1.6: Riforma del quadro in materia di insolvenza;Entrata in vigore della legislazione attuativa per la riforma del quadro in materia di insolvenza;4;2021;in corso
M1C1;Ministero della Giustizia;Investimento;Investimento 1.8 - Procedure di assunzione per i tribunali civili, penali e amministrativi;Entrata in vigore della legislazione speciale che disciplina le assunzioni nell'ambito del Piano Nazionale di Ripresa e Resilienza;4;2021;conseguito
M1C1;PCM - Ministro per la Pubblica Amministrazione;Investimento;Investimento 1.9: Fornire assistenza tecnica e rafforzare la creazione di capacità per l'attuazione del PNRR;Completamento dell'assunzione degli esperti per l'attuazione del PNRR;4;2021;in corso
M1C1;PCM - Ministro per la Pubblica Amministrazione;Riforma;Riforma 1.9 - Riforma della pubblica amministrazi one;Per aumentare l'assorbimento degli investimenti, estendere al fondo complementare la metodologia adottata per il PNRR;4;2021;conseguito
M1C1;PCM - Segretariato generale;Riforma;Riforma 1.10 - Riforma del quadro legislativo in materia di appalti pubblici e concessioni;Approvazione di provvedimenti attuativi per il settore degli appalti pubblici;4;2021;in corso
M1C1;Ministero dell'Economia e delle Finanze (MEF);Riforma;"Riforma 1.13 - Riforma del quadro di revisione della spesa pubblica (""spending review"")";Entrata in vigore delle disposizioni legislative per migliorare l'efficacia della revisione della spesa - Rafforzamento del Ministero delle Finanze;4;2021;in corso
M1C1;Ministero dell'Economia e delle Finanze (MEF);Riforma;Riforma 1.12 - Riforma dell'amministrazione fiscale;Adozione di una revisione dei possibili interventi per ridurre l'evasione fiscale;4;2021;in corso
M4C2;Ministero dello Sviluppo Economico (MiSE);Investimento;Investimento 1 - Transizione 4.0;Entrata in vigore degli atti giuridici per mettere i crediti d'imposta Transizione 4.0 a disposizione dei potenziali beneficiari e istituzione del comitato scientifico;4;2021;in corso
M1C3;Ministero del Turismo (MiTur);Investimento;Investimento 4.1- Hub del turismo digitale;Aggiudicazione degli appalti per lo sviluppo del portale del turismo digitale;4;2021;in corso
M2C2;Ministero della transizione ecologica (MITE);Riforma;Riforma 1.2 - Nuova normativa per la promozione della produzione e del consumo di gas rinnovabile;Entrata in vigore di un decreto legislativo teso a promuovere l'utilizzo del gas rinnovabile per l'utilizzo del biometano nei settori dei trasporti, industriale e residenziale e di un decreto attuativo che definisca le condizioni e criteri relativi al suo utilizzo e al nuovo sistema di incentivi.;4;2021;in corso
M2C2;Ministero delle infrastrutture e della mobilità sostenibili (MIMS);Riforma;Riforma 4.1: Procedure più rapide per la valutazione dei progetti nel settore dei sistemi di trasporto pubblico locale con impianti fissi e nel settore del trasporto rapido di massa;Entrata in vigore di un decreto-legge che introduce le modifiche procedurali previste dalla misura;4;2021;conseguito
